letters,first major arabic name,first major english name,second major arabic name,second major english name,first job arabic name,first job english name,second job arabic name,second job english name,hobby arabic name,hobby english name,diploma arabic name,diploma english name,arabic description,english description
ALS,تخصص هندسة التحكم,control systems engineerin,تخصص الأحافير والجيولوجيا,paleontology and geology,متخصص في علوم الفضاء,specialist in space sciences,متخصص حفريات,excavation specialist,هواية صيانة الهواتف النقالة,mobile maintenance hobby,دبلوم هندسة إلكترونية,diploma in electronic engineering,"عضو فريق، اجتماعي. ودود، محبوب. بطيء، مسترخ. متمركز حول
العملية. متفهم، صبور ، متعاون
 يتسم هذا الشخص بالأعمال البدنية التي تتطلب مجهودا ، وكذلك الأعمال التي
تتطلب تقنية و مهارة معينة، غالبا ما يحب العمل اليدوي أو العمل بواسطة
الآلات و الأدوات و الأشياء، والتفاعل مع الحيوانات
 الحرص على الدقة والبحث عن الحقائق ، جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها والقدرة العالية في تعليل
الأحداث واستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر والسعي وراء المعلومات ولو خارج
 تخصصه","a team player, social, friendly, and well-liked. slow-paced, relaxed, and process-oriented. understanding, patient, and cooperative.
this person excels in physically demanding tasks as well as jobs requiring technical skills and expertise. they often enjoy manual work, working with machines, tools, and objects, and interacting with animals.
pays great attention to accuracy and fact-finding, sometimes appearing emotionally detached.
has a strong ability to analyze numbers, interpret their meanings, and logically explain events while drawing conclusions.
believes that productivity is far more important than emotions and actively seeks knowledge, even outside their area of expertise."
ALW,تخصص هندسة الطيران,aerospace engineering,تخصص هندسة التحكم,control systems engineerin,مهندس ميكانيكا طيران,aeronautical mechanical engineer,مهندس أجهزة تحكم,controls engineer,هواية البرمجة,programming hobby,دبلوم هندسة ميكانيكية,diploma in mechanical engineering,"يحب ركوب المخاطر، مغامر. سريع، حيوي. ذو رؤية، غير تقليدي. إبداعي،
ابتكاري.
 مرن، متعدد المواهب. يعالج عدة مهام، متكيف. عفوي، غير متماسك. حماسي،
ذو حس فكاهي.
 ذو روح متحررة، طليق. متمركز حول الفكرة
ويتسم هذا الشخص بالأعمال البدنية التي تتطلب مجهودا ، وكذلك الأعمال التي
تتطلب تقنية و مهارة معينة، غالبا ما يحب العمل اليدوي أو العمل بواسطة الآلات
و الأدوات و الأشياء، والتفاعل مع الحيوانات
 الحرص على الدقة والبحث عن الحقائق ، جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها والقدرة العالية في تعليل
الأحداث واستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر والسعي وراء المعلومات ولو خارج
 تخصصه","he loves taking risks and is adventurous. he is fast, energetic, and visionary, with a non-traditional mindset. creative and innovative.

flexible and multi-talented, he handles multiple tasks and adapts easily. spontaneous and somewhat inconsistent. enthusiastic with a good sense of humor.

he has a free spirit and is expressive, focusing on ideas. he is drawn to physical tasks that require effort, as well as technical and skill-based work. he often enjoys manual labor or working with machines, tools, and objects, and interacting with animals.

he values precision and seeks facts, sometimes appearing emotionally detached. he has a strong ability to analyze numbers and their implications, as well as to reason through events and infer their consequences.

he believes that productivity is far more important than emotions and is always eager to pursue knowledge, even outside his field of expertise."
ALE,تخصص هندسة التعدين والانتاج,mining and production engineering,تخصص هندسة الطيران,aerospace engineering,مهندس تعدين,mining engineer,مهندس إلكترونيات طيران,avionics engineer,هواية التلوين,coloring hobby,دبلوم هندسة إلكترونية,diploma in electronic engineering,"متمركز حول الجودة. مغرم بالتفاصيل . بطيء، متأن.
 مركز، منهجي. منطقي، تحليلي. مُخطط منظم.
 لائق، دقيق. جاد، مسئول. تقليدي، محافظ. جاد، متحفظ.
يتسم هذا الشخص بالأعمال البدنية التي تتطلب مجهودا ، وكذلك الأعمال التي
تتطلب تقنية و مهارة معينة، غالبا ما يحب العمل اليدوي أو العمل بواسطة الآلات
و الأدوات و الأشياء، والتفاعل مع الحيوانات
 الحرص على الدقة والبحث عن الحقائق
 جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها
 القدرة العالية فى تعليل الأحداث وإستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر
 السعي وراء المعلومات ولو خارج  تخصصه","he is quality-focused and detail-oriented. slow-paced and deliberate.

concentrated and methodical. logical and analytical. a well-organized planner.

precise, disciplined, and responsible. traditional and conservative. serious and reserved.

he is drawn to physical tasks that require effort, as well as technical and skill-based work. he often enjoys manual labor or working with machines, tools, and objects, and interacting with animals.

he values accuracy and fact-finding, sometimes appearing emotionally detached. he has a strong ability to analyze numbers and their meanings, as well as to reason through events and infer their consequences.

he believes that productivity is far more important than emotions and is always eager to pursue knowledge, even outside his field of expertise."
ALN,تخصص جيولوجيا المناجم والتعدين,mining and geological engineering,تخصص الهندسة الصناعية,industrial engineering,جيولوجي مناجم,mine geologist,مهندس صناعي,industrial engineer,هواية الطبخ,cooking hobby,دبلوم جيولوجيا,diploma in geology,"حاسم، مسيطر. سريع الحركة، ذاتي البدء. واثق من نفسه، تسلطي.
 متمركز حول الهدف، طموح. منفتح، مباشر، قوي الإرادة.
 تنافسي، ذو عزيمة. قائد مكافح.
 مهتم بالعمل، يمكن الاعتماد عليه. مدفوع بالعمل، جسور.
يتسم هذا الشخص بالأعمال البدنية التي تتطلب مجهودا ، وكذلك الأعمال التي
تتطلب تقنية و مهارة معينة، غالبا ما يحب العمل اليدوي أو العمل بواسطة الآلات
و الأدوات و الأشياء، والتفاعل مع الحيوانات
 الحرص على الدقة والبحث عن الحقائق
 جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها
 القدرة العالية في تعليل الأحداث واستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر
السعي وراء المعلومات ولو خارج  تخصصه","decisive and dominant. fast-moving and self-starting. confident and authoritative.

goal-oriented and ambitious. open, direct, and strong-willed.

competitive and determined. a resilient leader.

work-focused and reliable. driven by action and courageous.

he is drawn to physical tasks that require effort, as well as technical and skill-based work. he often enjoys manual labor or working with machines, tools, and objects, and interacting with animals.

he values accuracy and fact-finding, sometimes appearing emotionally detached. he has a strong ability to analyze numbers and their meanings, as well as to reason through events and infer their consequences.

he believes that productivity is far more important than emotions and is always eager to pursue knowledge, even outside his field of expertise."
ALP,تخصص هندسة الطاقة المتجددة,renewable energy engineering,تخصص الكمياء التطبيقية والاشعة السينية,applied chemistry and x-ray technology,متخصص طاقة متجددة,renewable energy specialist,اخصائي أشعة,radiologist,هواية الكروشيه,crochet hobby,دبلوم علوم الطاقة المتجددة,diploma in renewable energy,"وهنا يُحتمل وجود إضطراب من نوع )ثنائى القطب( وقد يسبب هذا الإضطراب
نقص الانتباه مع فرط النشاط فى مرحلة الطفولة. وهذا الاضطراب يصيب حوالي
1 % من السكّان عالميا،ً وهذا الإضطراب يعد مؤشرا على ظهور العبقرية فى
كثير من الأحيان ،وذلك لأرتباط عدد كبير من عباقرة وعظماء التاريخ به
يتسم هذا الشخص بالأعمال البدنية التي تتطلب مجهودا ، وكذلك الأعمال التي
تتطلب تقنية و مهارة معينة، غالبا ما يحب العمل اليدوي أو العمل بواسطة الآلات
و الأدوات و الأشياء، والتفاعل مع الحيوانات
 الحرص على الدقة والبحث عن الحقائق
 جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها
 القدرة العالية في تعليل الأحداث واستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر
السعي وراء المعلومات ولو خارج  تخصصه","here, there is a possibility of bipolar disorder, which may cause attention deficit with hyperactivity in childhood. this disorder affects about 1% of the global population and is often considered an indicator of genius, as many historical geniuses and great figures have been linked to it.

this person is characterized by:

engaging in physical tasks that require effort, as well as technical and skill-based work.
a preference for manual labor or working with machines, tools, and objects, as well as interacting with animals.
a strong focus on accuracy and fact-finding.
sometimes appearing emotionally detached.
a keen ability to analyze numbers and their implications.
high reasoning skills, with the ability to infer consequences from events.
believing that productivity is far more important than emotions.
constantly seeking knowledge, even outside their area of expertise."
BLN,تخصص التصنيع والحدادة,manufacturing and forging engineering,تخصص فنون الطهي,culinary arts,حدَّاد,blacksmith,جزار,butcher,هواية جمع الكتب,book collection hobby,دبلوم الأمن الصناعي,diploma in industrial security,"حاسم، مسيطر. سريع الحركة، ذاتي البدء. واثق من نفسه، تسلطي.
 متمركز حول الهدف، طموح. منفتح، مباشر، قوي الإرادة.
 تنافسي، ذو عزيمة. قائد مكافح.
 مهتم بالعمل، يمكن الاعتماد عليه. مدفوع بالعمل، جسور.
يتسم هذا الشخص بالأعمال البدنية التي تتطلب مجهودا ، وكذلك الأعمال التي تتطلب تقنية
و مهارة معينة، غالبا ما يحب العمل اليدوي أو العمل بواسطة الآلات و الأدوات و الأشياء،
والتفاعل مع الحيوانات
 الحذر والحرص من العواقب والأخطار
 الدقة فى تنفيذ الأمور خطوة بخطوة
 يشعر بالراحة فى أعمال التصنيف والتنظيم
 دؤب يعتمد علية الأخرين
 الميل للفعل أكثر من الفكر
التنظيم والانضباط والتخطيط وعدم المغامرة من أهم سماته","decisive and dominant. fast-moving and self-starting. confident and authoritative.

goal-oriented and ambitious. open, direct, and strong-willed.

competitive and determined. a resilient leader.

work-focused and reliable. driven by action and courageous.

this person is characterized by:

engaging in physical tasks that require effort, as well as technical and skill-based work.
a preference for manual labor or working with machines, tools, and objects, as well as interacting with animals.
caution and awareness of consequences and risks.
precision in executing tasks step by step.
comfort in classification and organization tasks.
persistence and reliability, often depended on by others.
a tendency toward action rather than contemplation.
a strong emphasis on organization, discipline, planning, and avoiding unnecessary risks."
BLP,تخصص البناء والتشييد,construction and building engineering,تخصص الهندسة الكهربائية,electrical engineering,بناء,builder,بحار,sailor,هواية القفز الحر,skydiving hobby,دبلوم البناء والتشييد,diploma in  construction and building,"يتسم هذا الشخص بالأعمال البدنية التي تتطلب مجهودا ، وكذلك الأعمال التي تتطلب تقنية
و مهارة معينة، غالبا ما يحب العمل اليدوي أو العمل بواسطة الآلات و الأدوات و الأشياء،
والتفاعل مع الحيوانات
الحذر والحرص من العواقب والأخطار ،الدقة في تنفيذ الأمور خطوة بخطوة
يشعر بالراحة في أعمال التصنيف والتنظيم ،دؤوب يعتمد علية الأخرين
الميل للفعل أكثر من الفكر ، التنظيم والانضباط والتخطيط وعدم المغامرة من أهم سماته
وهنا يُحتمل وجود اضطراب من نوع (ثنائي القطب) وقد يسبب هذا الاضطراب نقص
الانتباه مع فرط النشاط في مرحلة الطفولة. وهذا الاضطراب يصيب حوالي 1% من السكّان عالميا وهذا الاضطراب يعد مؤشرا على ظهور العبقرية في كثير من الأحيان
،وذلك لارتباط عدد كبير من عباقرة وعظماء التاريخ به","this person is characterized by:

engaging in physical tasks that require effort, as well as technical and skill-based work.
a preference for manual labor or working with machines, tools, and objects, as well as interacting with animals.
caution and awareness of consequences and risks.
precision in executing tasks step by step.
comfort in classification and organization tasks.
persistence and reliability, often depended on by others.
a tendency toward action rather than contemplation.
a strong emphasis on organization, discipline, planning, and avoiding unnecessary risks.
there is a possibility of bipolar disorder, which may cause attention deficit with hyperactivity in childhood. this disorder affects about 1% of the global population and is often considered an indicator of genius, as many historical geniuses and great figures have been linked to it."
BLE,تخصص الحياة الفطرية والمحميات,wildlife and conservation management,تخصص الهندسة الميكانيكية,mechanical engineering,مزارع,farmer,مهندس ميكانيكا,mechanical engineer,هواية جمع العملات,currency collection hobby,العلوم الزراعية,agricultural sciences,"يتسم هذا الشخص بالأعمال البدنية التي تتطلب مجهودا ، وكذلك الأعمال التي تتطلب تقنية
و مهارة معينة، غالبا ما يحب العمل اليدوي أو العمل بواسطة الآلات و الأدوات ، والتفاعل
مع الحيوانات
 متمركز حول الجودة. مغرم بالتفاصيل . بطيء، متأن. مركز، منهجي.
 منطقي، تحليلي. مُخطط منظم. لائق، دقيق.
 جاد، مسئول. تقليدي، محافظ. جاد، متحفظ.
ويتسم بالحذر والحرص من العواقب والأخطار ،الدقة في تنفيذ الأمور خطوة بخطوة
يشعر بالراحة في أعمال التصنيف والتنظيم ،دؤوب يعتمد علية الأخرين
الميل للفعل أكثر من الفكر ، التنظيم والانضباط والتخطيط وعدم المغامرة من أهم سماته","this person is characterized by:

engaging in physical tasks that require effort, as well as technical and skill-based work.
a preference for manual labor or working with machines, tools, and objects, as well as interacting with animals.
a strong focus on quality and attention to detail.
slow-paced and deliberate, with a methodical and focused approach.
logical, analytical, and highly organized in planning.
precise, disciplined, and responsible.
traditional, conservative, and reserved.
cautious and highly aware of risks and consequences.
highly accurate in step-by-step execution of tasks.
finds comfort in classification and organization.
persistent and relied upon by others.
prefers action over excessive contemplation.
strongly values organization, discipline, planning, and avoiding unnecessary risks."
BLW,تخصص ملاحة الطيران,air navigation,تخصص الخدمات اللوجستية,logistics services,طيار مساعد,co-pilot,سائق شاحنة,truck driver,هواية البرمجة,programming hobby,دبلوم إدارة اللوجستيات و سلاسل الإمداد,diploma in logistics management and supply chains,"يتسم هذا الشخص بالأعمال البدنية التي تتطلب مجهودا ، وكذلك الأعمال التي تتطلب تقنية و مهارة معينة، غالبا ما يحب العمل اليدوي أو العمل بواسطة الآلات و الأدوات و الأشياء.
 يحب ركوب المخاطر،سريع، حيوي.ذو رؤية، غير تقليدي.
 مرن، متعدد المواهب.يعالج عدة مهام، متكيف.عفوي، غير متماسك.
 حماسي، ذو حس فكاهي.ذو روح متحررة، طليق.
ورغم ذلك يتسم بالحذر والحرص من العواقب والأخطار ،الدقة في تنفيذ الأمور خطوة بخطوة
يشعر بالراحة في أعمال التصنيف والتنظيم ،دؤوب يعتمد علية الأخرين
الميل للفعل أكثر من الفكر ، التنظيم والانضباط والتخطيط وعدم المغامرة من أهم سماته","this person is characterized by a blend of adventure and caution, showing traits that make them dynamic yet disciplined:  

- enjoys physical tasks that require effort, as well as technical and skill-based work.  
- prefers hands-on activities, working with machines, tools, and objects.  
- thrives on risk-taking, is fast, energetic, and visionary, with a non-traditional mindset.  
- highly flexible and multi-talented, capable of handling multiple tasks and adapting quickly.  
- spontaneous and sometimes inconsistent, yet enthusiastic with a good sense of humor.  
- free-spirited and expressive.  

at the same time, they also exhibit:  
- caution and risk awareness, carefully considering consequences.  
- precision and step-by-step execution in tasks.  
- a preference for classification and organization, finding comfort in structured systems.  
- diligence and reliability, often depended on by others.  
- a strong inclination toward action rather than overthinking.  
- a commitment to organization, discipline, planning, and avoiding unnecessary risks.  

this combination makes them a unique mix of spontaneity and structure, blending creativity with meticulous execution."
BLS,تخصص الصناعة النووية,nuclear engineering,تخصص الادارة الرياضية,sports management,عامل مصنع,factory worker,لاعب رياضي,athlete,هواية العزف الموسيقي,playing music hobby,دبلوم العلوم الرياضية,diploma in mathematical sciences,"يتسم هذا الشخص بالأعمال البدنية التي تتطلب مجهودا ، وكذلك الأعمال التي تتطلب تقنية و مهارة معينة، غالبا ما يحب العمل اليدوي أو العمل بواسطة الآلات و الأدوات و الأشياء،
والتفاعل مع الحيوانات
 عضو فريق، اجتماعي. ودود، محبوب. بطيء، مسترخ. متمركز حول العملية. متفهم، صبور
، متعاون
ورغم ذلك يتسم بالحذر والحرص من العواقب والأخطار ،الدقة في تنفيذ الأمور خطوة
بخطوة
يشعر بالراحة فى أعمال التصنيف والتنظيم ،دؤب يعتمد علية الأخرين
الميل للفعل أكثر من الفكر ، التنظيم والانضباط والتخطيط وعدم المغامرة من أهم سماته","this person is characterized by:  
- engaging in physical tasks that require effort, as well as technical and skill-based work.  
- preferring manual labor or work with machines, tools, and objects, and enjoys interacting with animals.  
- being a team player, social, friendly, and well-liked by others.  
- slow-paced, relaxed, and process-focused.  
- understanding, patient, and highly cooperative.  

at the same time, they also exhibit:  
- caution and awareness of consequences and risks.  
- precision in executing tasks step by step.  
- comfort in classification and organization tasks.  
- diligence and reliability, often depended on by others.  
- a tendency toward action over contemplation.  
- a strong focus on organization, discipline, planning, and avoiding unnecessary risks.  

this person blends a calm, sociable approach with a methodical, disciplined work ethic."
